,No.,Code,Name,Prev.,Close,Change,%
338,339.0,EAST,Eastparc Hotel Tbk.,93,93,0,0.00%
339,340.0,EAST-W,Waran Seri I Eastparc Hotel Tbk,1,0,0,0.00%
340,341.0,ECII,Electronic City Indonesia Tbk.,565,565,0,0.00%
341,342.0,EDGE,Indointernet Tbk.,21350,0,0,0.00%
342,343.0,EKAD,Ekadharma International Tbk.,1415,1420,5,0.35%
343,344.0,ELSA,Elnusa Tbk.,292,288,-4,-1.37%
344,345.0,ELTY,Bakrieland Development Tbk.,50,0,0,0.00%
345,346.0,EMDE,Megapolitan Developments Tbk.,146,150,4,2.74%
346,347.0,EMTK,Elang Mahkota Teknologi Tbk.,1675,1605,-70,-4.18%
347,348.0,ENAK,Champ Resto Indonesia Tbk.,1675,1585,-90,-5.37%
348,349.0,ENRG,Energi Mega Persada Tbk.,236,228,-8,-3.39%
349,350.0,ENRG-R,Right III Energi Mega Persada Tbk,0,0,0,0.00%
350,351.0,ENVY,Envy Technologies Indonesia Tbk.,50,0,0,0.00%
351,352.0,ENZO,Morenzo Abadi Perkasa Tbk.,53,53,0,0.00%
352,353.0,ENZO-W,Waran Seri I Morenzo Abadi Perkasa Tbk.,12,12,0,0.00%
353,354.0,EPAC,Megalestari Epack Sentosaraya Tbk.,50,50,0,0.00%
354,355.0,EPMT,Enseval Putera Megatrading Tbk.,2780,2770,-10,-0.36%
355,356.0,ERAA,Erajaya Swasembada Tbk.,498,490,-8,-1.61%
356,357.0,ERTX,Eratex Djaja Tbk.,204,208,4,1.96%
357,358.0,ESIP,Sinergi Inti Plastindo Tbk.,84,86,2,2.38%
358,359.0,ESIP-R,Right I Sinergi Inti Plastindo Tbk,0,0,0,0.00%
359,360.0,ESIP-W,Waran Seri II Sinergi Inti Plastindo Tbk.,8,9,1,12.50%
360,361.0,ESSA,Surya Esa Perkasa Tbk.,795,740,-55,-6.92%
361,362.0,ESSA-R,Right I Surya Esa Perkasa Tbk,0,0,0,0.00%
362,363.0,ESTA,Esta Multi Usaha Tbk.,462,492,30,6.49%
363,364.0,ESTA-R,Right I Esta Multi Usaha Tbk,0,0,0,0.00%
364,365.0,ESTA-W,Waran Seri I Esta Multi Usaha Tbk.,195,220,25,12.82%
365,366.0,ESTI,Ever Shine Tex Tbk.,121,113,-8,-6.61%
366,367.0,ETWA,Eterindo Wahanatama Tbk,62,0,0,0.00%
367,368.0,EXCL,XL Axiata Tbk.,2300,2300,0,0.00%
368,369.0,FAPA,FAP Agri Tbk.,3600,3550,-50,-1.39%
369,370.0,FAST,Fast Food Indonesia Tbk.,930,930,0,0.00%
370,371.0,FASW,Fajar Surya Wisesa Tbk.,6350,0,0,0.00%
371,372.0,FILM,MD Pictures Tbk.,2350,2420,70,2.98%
372,373.0,FIMP,Fimperkasa Utama Tbk.,41,42,1,2.44%
373,374.0,FIMP-W,Waran Seri I Fimperkasa Utama Tbk,3,0,0,0.00%
374,375.0,FINN,First Indo American Leasing Tbk,0,0,0,0.00%
375,376.0,FIRE,Alfa Energi Investama Tbk.,210,216,6,2.86%
376,377.0,FIRE-W,Waran Seri I Alfa Energi Investama Tbk,0,0,0,0.00%
377,378.0,FISH,FKS Multi Agro Tbk.,7000,7200,200,2.86%
378,379.0,FITT,Hotel Fitra International Tbk.,200,198,-2,-1.00%
379,380.0,FITT-W,Waran Seri I Hotel Fitra Intl. Tbk,110,0,0,0.00%
380,381.0,FLMC,Falmaco Nonwoven Industri Tbk.,78,79,1,1.28%
381,382.0,FMII,Fortune Mate Indonesia Tbk,354,348,-6,-1.69%
382,383.0,FOOD,Sentra Food Indonesia Tbk.,107,103,-4,-3.74%
383,384.0,FORU,Fortune Indonesia Tbk,258,262,4,1.55%
384,385.0,FORU-W,Warrant Seri I Fortune Indones,0,0,0,0.00%
385,386.0,FORZ,Forza Land Indonesia Tbk.,50,0,0,0.00%
386,387.0,FORZ-W,Waran Seri I Forza Land Indonesia Tbk,0,0,0,0.00%
387,388.0,FPNI,Lotte Chemical Titan Tbk.,360,366,6,1.67%
388,389.0,FREN,Smartfren Telecom Tbk.,82,82,0,0.00%
389,390.0,FREN-R,Right IV Smartfren Telecom Tbk,0,0,0,0.00%
390,391.0,FREN-W,Waran Seri II Smartfren Telecom Tbk,11,0,0,0.00%
391,392.0,FREN-W2,Waran Seri III Smartfren Telecom Tbk.,17,17,0,0.00%
392,393.0,FUJI,Fuji Finance Indonesia Tbk.,600,570,-30,-5.00%
393,394.0,GAMA,Aksara Global Development Tbk.,50,50,0,0.00%
394,395.0,GB05,Basket Bond 05Y,0,0,0,0.00%
395,396.0,GB10,Basket Bond 10Y,0,0,0,0.00%
396,397.0,GDST,Gunawan Dianjaya Steel Tbk.,92,92,0,0.00%
397,398.0,GDYR,Goodyear Indonesia Tbk.,1295,1290,-5,-0.39%
398,399.0,GEMA,Gema Grahasarana Tbk.,350,350,0,0.00%
399,400.0,GEMS,Golden Energy Mines Tbk.,6125,5975,-150,-2.45%
400,401.0,GGRM,Gudang Garam Tbk.,29525,29450,-75,-0.25%
401,402.0,GGRP,Gunung Raja Paksi Tbk.,560,555,-5,-0.89%
402,403.0,GHON,Gihon Telekomunikasi Indonesia Tbk.,2200,2190,-10,-0.45%
403,404.0,GIAA,Garuda Indonesia (Persero) Tbk.,222,0,0,0.00%
404,405.0,GJTL,Gajah Tunggal Tbk.,685,685,0,0.00%
405,406.0,GLOB,Globe Kita Terang Tbk.,137,140,3,2.19%
406,407.0,GLVA,Galva Technologies Tbk.,282,272,-10,-3.55%
407,408.0,GMFI,Garuda Maintenance Facility Aero Asia Tbk.,75,76,1,1.33%
408,409.0,GMTD,Gowa Makassar Tourism Development Tbk.,14525,0,0,0.00%
409,410.0,GOLD,Visi Telekomunikasi Infrastruktur Tbk.,328,328,0,0.00%
410,411.0,GOLL,Golden Plantation Tbk.,50,0,0,0.00%
411,412.0,GOLL-W,Warran Seri I Golden Plantation Tbk,0,0,0,0.00%
412,413.0,GOOD,Garudafood Putra Putri Jaya Tbk.,530,530,0,0.00%
413,414.0,GOTO,GoTo Gojek Tokopedia Tbk.,330,324,-6,-1.82%
414,415.0,GPRA,Perdana Gapuraprima Tbk.,77,77,0,0.00%
415,416.0,GPSO,Geoprima Solusi Tbk.,123,125,2,1.63%
416,417.0,GPSO-W,Waran Seri I Geoprima Solusi Tbk.,9,10,1,11.11%
417,418.0,GSMF,Equity Development Investment Tbk.,84,81,-3,-3.57%
418,419.0,GSMF-R,Right V Equity Development Investment,0,0,0,0.00%
419,420.0,GTBO,Garda Tujuh Buana Tbk,75,0,0,0.00%
420,421.0,GTSI,GTS Internasional Tbk.,56,56,0,0.00%
421,422.0,GWSA,Greenwood Sejahtera Tbk.,153,153,0,0.00%
422,423.0,GZCO,Gozco Plantations Tbk.,138,138,0,0.00%
423,424.0,HADE,Himalaya Energi Perkasa Tbk.,50,50,0,0.00%
424,425.0,HAIS,Hasnur Internasional Shipping Tbk.,230,224,-6,-2.61%
425,426.0,HDFA,Radana Bhaskara Finance Tbk.,169,168,-1,-0.59%
426,427.0,HDFA-R,Right II Radana Bhaskara Finance Tbk,0,0,0,0.00%
427,428.0,HDIT,Hensel Davest Indonesia Tbk.,91,85,-6,-6.59%
428,429.0,HDTX,Panasia Indo Resources Tbk.,120,0,0,0.00%
429,430.0,HEAL,Medikaloka Hermina Tbk.,1600,1590,-10,-0.63%
430,431.0,HELI,Jaya Trishindo Tbk.,274,280,6,2.19%
431,432.0,HELI-W,Waran Seri I Jaya Trishindo Tbk,0,0,0,0.00%
432,433.0,HERO,Hero Supermarket Tbk.,1595,1600,5,0.31%
433,434.0,HEXA,Hexindo Adiperkasa Tbk.,6100,6100,0,0.00%
434,435.0,HITS,Humpuss Intermoda Transportasi Tbk.,915,855,-60,-6.56%
435,436.0,HKMU,HK Metals Utama Tbk.,50,50,0,0.00%
436,437.0,HMSP,H.M. Sampoerna Tbk.,955,950,-5,-0.52%
437,438.0,HMSP-R,Right I HM Sampoerna Tbk,0,0,0,0.00%
438,439.0,HOKI,Buyung Poetra Sembada Tbk.,130,129,-1,-0.77%
439,440.0,HOKI-W,Waran Seri I Buyung Poetra Sembada Tbk,0,0,0,0.00%
440,441.0,HOME,Hotel Mandarine Regency Tbk.,50,0,0,0.00%
441,442.0,HOME-R,Right II Hotel Mandarine Regency Tbk,0,0,0,0.00%
442,443.0,HOMI,Grand House Mulia Tbk.,640,615,-25,-3.91%
443,444.0,HOPE,Harapan Duta Pertiwi Tbk.,136,127,-9,-6.62%
444,445.0,HOPE-W,Waran Seri I Harapan Duta Pertiwi Tbk.,14,14,0,0.00%
445,446.0,HOTL,Saraswati Griya Lestari Tbk.,50,0,0,0.00%
446,447.0,HRME,Menteng Heritage Realty Tbk.,52,52,0,0.00%
447,448.0,HRTA,Hartadinata Abadi Tbk.,206,202,-4,-1.94%
448,449.0,HRUM,Harum Energy Tbk.,1510,1480,-30,-1.99%
449,450.0,IATA,MNC Energy Investments Tbk.,155,158,3,1.94%
450,451.0,IATG-W,Warrant Infoasia Teknologi G,0,0,0,0.00%
451,452.0,IBFN,Intan Baru Prana Tbk.,97,0,0,0.00%
452,453.0,IBFN-R,Right I Intan Baruprana Finance Tbk,0,0,0,0.00%
453,454.0,IBFN-W,Waran Seri I Intan Baruprana Finance Tbk,9,0,0,0.00%
454,455.0,IBOS,Indo Boga Sukses Tbk.,110,110,0,0.00%
455,456.0,IBOS-W,Waran Seri I Indo Boga Sukses Tbk.,11,10,-1,-9.09%
456,457.0,IBST,Inti Bangun Sejahtera Tbk.,10350,0,0,0.00%
457,458.0,ICBP,Indofood CBP Sukses Makmur Tbk.,9325,9300,-25,-0.27%
458,459.0,ICON,Island Concepts Indonesia Tbk.,74,74,0,0.00%
459,460.0,IDEA,Idea Indonesia Akademi Tbk.,59,59,0,0.00%
