,No.,Code,Name,Prev.,Close,Change,%
791,792.0,PSKT-W,Waran Seri I Pusako Tarinka Tbk,0,0,0,0.00%
792,793.0,PSSI,Pelita Samudera Shipping Tbk.,640,620,-20,-3.13%
793,794.0,PTBA,Bukit Asam Tbk.,3980,4030,50,1.26%
794,795.0,PTBA-W,Warrant Tambang Batubara Bukit,0,0,0,0.00%
795,796.0,PTDU,Djasa Ubersakti Tbk.,93,94,1,1.08%
796,797.0,PTIS,Indo Straits Tbk.,170,168,-2,-1.18%
797,798.0,PTPP,PP (Persero) Tbk.,890,890,0,0.00%
798,799.0,PTPP-R,Right I PP (Persero) Tbk,0,0,0,0.00%
799,800.0,PTPW,Pratama Widya Tbk.,1080,1070,-10,-0.93%
800,801.0,PTRO,Petrosea Tbk.,2820,2790,-30,-1.06%
801,802.0,PTSN,Sat Nusapersada Tbk,197,197,0,0.00%
802,803.0,PTSP,Pioneerindo Gourmet International Tbk.,3100,2900,-200,-6.45%
